interpolated_recalls_at_levels,interpolated_precisions_at_levels,interpolated_f1_at_levels
0.0,0.5408344603226724,0.0
0.10000000000000023,0.5100340755222876,0.16721494617677451
0.20000000000000046,0.4542799091834081,0.2777281727940479
0.2999999999999987,0.37556929007637546,0.33355804853170445
0.4000000000000009,0.3261382048621231,0.3593125415281512
0.5,0.2921035220421907,0.36876937662023435
0.5999999999999974,0.22053143491261606,0.32251990677641984
0.6999999999999995,0.17131402996856723,0.2752619993558997
0.8000000000000018,0.13511639594229694,0.23118644314842635
0.9000000000000036,0.10352632902473552,0.18569257911311943
1.0,0.09927975676540227,0.18062691713259593
